Instrument,Latitude,Longitude,ocean,year,month,Group_index,PFT,Selection,Min_size,Max_size,Average_size,Slope,Slope_sd,Total_abundance,Max_abundance,Intercept_ref,Intercept_ref_sd,Intercept,Intercept_sd,R2,Absolute_intercept,Date_bin,Month,Conductivity,Salinity,Oxygen,AOU,MLD,Phosphates,Silicates,Temperature,Nitrates,SLA,CHL,Iron,PAR,Aerosol_thickness,DUWT001,PSD_slope,Picophytoplankton,Nanophytoplankton,Microphytoplankton,FSLE,theta_max
Scanner,-60.5,-60.5,Southern Ocean,2011,1.0,52,Crustaceans,"[False, False, False, False, False, False, False, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]",910.6371395896388,4599.565196841983,1234.428772449377,-1.3515394658393034,0.1431112098738672,240.25406396937137,113.0830870300881,1.7322681439331982,0.13601324020115,2.276891652484489,0.3576030355547919,0.9369673520801718,189.18715768282536,2011-01,January,2.9531713,33.846287,341.00806,-7.8649144,61.533855,1683.6797,28688.207,2.40871,23670.992,0.086075,0.12926103,7.579425e-05,36.230206,0.09966806,3.024234e-12,5.13342,0.8876182,0.10995935,0.0024225055,-0.09773659,-3.4779992
Scanner,-35.5,22.5,Indian Ocean,2019,3.0,192,Crustaceans,"[False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",,,,,,,,,,,,,,2019-03,March,5.178521,35.36761,214.93474,-2.4621716,37.763382,250.3478,5382.4316,22.472391,5098.5127,0.047474999999999996,1.1162556,0.0016896975,40.920105,0.09721538,7.4718465e-13,3.6139758,0.33664015,0.4739728,0.18938707,-0.11101004,-3.179948
Scanner,-34.5,24.5,Indian Ocean,2019,3.0,193,Crustaceans,"[False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True]",,,,,,,,,,,,,,2019-03,March,5.0911255,35.293987,219.22707,-3.6654768,26.667452,100.58527,7865.4707,21.95919,4406.5273,,,,34.591274,0.1107,1.5426838e-12,3.3868523,0.2366724,0.49583256,0.26749504,0.0,0.0
Scanner,-33.5,-73.5,South Pacific Ocean,2011,3.0,53,Crustaceans,"[False, False, False, False, False, False, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False]",724.1443226318906,3650.3424496887937,873.2761039601811,-1.1439104834955325,0.1951736398628627,59.122270515878114,32.493275021447204,0.5418661914709011,0.1512422438374434,1.34434912283998,0.8254630585634848,0.8513054919971057,22.097804286393472,2011-03,March,4.49417,34.314987,236.3711,9.339815,29.56276,440.3475,3552.7417,17.0603,5683.574,0.048968750000000005,0.49978575,5.501332e-05,43.563736,0.10238752,5.4413115e-13,3.6471355,0.351501,0.47923383,0.1692652,-0.0647049,6.4192595
Scanner,-33.5,43.5,Indian Ocean,2017,5.0,179,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]",455.9298191608002,4599.565196841983,544.4890005702541,-1.0087276442785358,0.1444839475368414,280.626420795505,154.7075985052927,0.4944109045084653,0.1406569519992252,1.8101018212620907,0.6548668312743915,0.8441358588874524,64.58056217840766,2017-05,May,4.924931,35.5572,226.65744,-2.2758937,69.45291,210.24165,5472.53,20.4928,384.25928,0.10403124999999999,0.10806931,6.1452547e-06,23.482635,0.08928055,7.627874e-13,4.7905383,0.822356,0.17030329,0.0073407306,-0.059824966,15.027866
Scanner,-33.5,44.5,Indian Ocean,2017,5.0,180,Crustaceans,"[False, False, False, False, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,724.1443226318906,521.9678766098623,-1.2559816581115877,0.2752922415354496,33.9251473683707,19.3090447941847,-0.3045477125657784,0.2842707461171787,1.3336384406138202,1.5137641964054986,0.9541602067679604,21.559487886236663,2017-05,May,4.907627,35.55361,227.07922,-2.2199056,70.85891,200.3461,5505.2217,20.3742,374.3535,0.12965,0.097451866,5.7035913e-06,23.313082,0.07517084,7.863557e-13,4.8650174,0.83899236,0.1552016,0.0058060642,-0.049808335,11.167266
Scanner,-29.5,-101.5,South Pacific Ocean,2011,3.0,54,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,3650.3424496887937,630.990190249413,-1.065137005071101,0.0440763882105251,150.40218060019762,66.1154276698148,0.5641973273057668,0.0381983341486958,1.953463389972775,0.1651086006951289,0.986486059821105,89.83868574301464,2011-03,March,5.321172,35.62579,218.11395,-5.9359665,39.947304,138.95485,429.5501,23.7838,87.44984,0.040156250000000004,0.019007558,3.866032e-05,46.33755,0.087729156,5.9783287e-13,5.022483,0.8709105,0.12581187,0.0032776315,-0.036473513,-13.04091
Scanner,-28.5,46.5,Indian Ocean,2016,11.0,173,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,623.9150232176385,-1.0781785964338793,0.0436936402033966,122.94717520431291,54.0816732427514,0.4617506483468874,0.0342616957566012,1.8680269549517348,0.1514735375962679,0.9886344922505802,73.79500303660417,2016-11,November,5.157916,35.37639,228.09547,-8.0,40.4961,174.2011,3561.206,22.61289,132.63628,0.17980625000000003,0.08353231,0.00076372165,52.838223,0.09305069,4.572433e-13,4.9322047,0.85379064,0.14172326,0.004486095,-0.12805687,12.492379
Scanner,-27.5,38.5,Indian Ocean,2013,7.0,106,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2299.7825984209894,714.7795115245979,-0.8059447129532749,0.0986666021532189,427.05702070600194,127.23975278693312,1.260247402665153,0.072458080652302,2.3114470443649044,0.2427501191086145,0.9174942101654678,204.8552244804938,2013-07,July,5.1076417,35.37829,225.21028,-7.2960715,69.25848,132.45761,2159.4934,22.1569,184.31828,-0.033424999999999996,0.21250015,0.00031172278,30.186663,0.06622222,3.937488e-13,4.2076387,0.62588733,0.3296052,0.044507485,-0.1038643,-10.582985
Scanner,-27.5,39.5,Indian Ocean,2013,7.0,107,Crustaceans,"[False, False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False]",574.6651198741748,3650.3424496887937,818.9748306453131,-1.0672110608988978,0.0713430803194956,1177.9582253770072,450.7205657966066,1.805220526822978,0.0573187895084801,2.8753737437672715,0.1606674747099729,0.9696664332418208,750.5398286744753,2013-07,July,5.10408,35.3629,225.4271,-7.502368,65.19376,158.30783,2480.6125,22.1254,193.65675,-0.1409625,0.24229379,0.00028711185,29.692541,0.067433335,3.694028e-13,3.995052,0.52607435,0.3957591,0.07816655,-0.074616246,21.337313
