Taxon,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,NBSS_slope_mean,NBSS_slope_std,NBSS_intercept_mean,NBSS_intercept_std,NBSS_r2_mean,NBSS_r2_std,N_bins_min,QC_3std_dev,QC_min_n_size_bins,QC_R2
Copepoda,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.2435028020578223,,18.83412278061721,,0.9632338915263682,,5.0,0,0,0
Marine_snow,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.272103964838623,,14.938725666458103,,0.9662820441405999,,5.0,1,0,0
Copepoda,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.2085310691663467,,17.72110744322451,,0.8510317219153587,,5.0,0,0,0
Marine_snow,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.4586825192250743,,8.826986544110381,,0.9898743928740313,,5.0,0,0,0
Appendicularia,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.813633981518692,,12.562747311288536,,0.9929736490842062,,4.0,0,1,0
Copepoda,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.8105363591882107,,14.489249733137378,,0.9175517421985786,,4.0,0,1,0
Marine_snow,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.5626152277512013,,9.797098819284455,,0.9547815016563185,,6.0,0,0,0
Copepoda,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.6156220290327872,,12.154001317330845,,0.9209472642498211,,5.0,0,0,0
Echinodermata,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.5228872448165056,,9.031843448096215,,0.6319146534757272,,4.0,0,1,1
Marine_snow,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.1106092943994055,,13.44500096589594,,0.9067659130534879,,5.0,1,0,0
Appendicularia,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.6582888173401535,,2.6126457504634915,,0.17177502639457842,,4.0,0,1,1
Copepoda,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-0.9356346502756768,0.15640919357908098,6.810266895395481,0.7692360526317794,0.8716963203655714,0.08301037033489114,5.0,0,0,0
Echinodermata,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.5566667825027872,,1.9610436087533554,,0.9999648610926595,,3.0,0,1,0
Marine_snow,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.6688269848229593,0.10007345764664612,10.39850044082181,0.6091836953070171,0.9615168554565724,0.006981413881572504,4.0,0,1,0
Copepoda,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.912108639636603,,15.629366129656464,,0.9264724277961887,,7.0,0,0,0
Marine_snow,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.821441040071016,,11.471332817900194,,0.9998584734299062,,4.0,0,1,0
Copepoda,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.6696568260694717,0.27894462535179115,13.4266438495291,2.717207472661763,0.9584392672405326,0.03496064866731335,5.0,0,0,0
Marine_snow,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.9665574311764868,0.44399994214345345,12.301526779286359,3.318065129333736,0.8830739288764173,0.08177174042192932,3.0,0,1,0
Copepoda,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,-1.5852431894650814,0.42653203342656026,12.45374263525185,4.066057092722278,0.900965441990944,0.05314616840929334,4.0,0,1,0
Marine_snow,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,2,-1.5388409440355586,0.2054652614751005,8.719163089722375,1.460212626222389,0.9906986667251291,0.006592518288718451,3.0,0,1,0
Marine_snow,1.0,1997,04,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.5388409440355586,0.2054652614751005,8.719163089722375,1.460212626222389,0.9906986667251291,0.006592518288718451,3.0,0,1,0
Appendicularia,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.6078455682099508,,10.623407190102897,,0.9203578434265952,,3.0,0,1,0
Copepoda,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,2,-2.56861878065371,1.1063870695753646,21.026026246371764,9.837540538418006,0.9759934240868124,0.017149002714867325,4.0,1,1,0
Marine_snow,1.0,1997,05,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.5990736100378613,0.08087681034320036,9.986446412499472,0.09035114084942343,0.8954754732321693,0.12111392252204801,5.0,0,0,0
Appendicularia,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-0.48719951936886824,0.6809268470362484,0.8899610097296542,6.0229151483050405,0.5032953894402341,0.7024016968874066,3.0,0,1,1
Copepoda,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.7374066003848032,0.15636293051029215,13.726947759696886,1.7782677380196672,0.9276673374001487,0.010009450783437969,4.0,0,1,0
Copepoda,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.7374066003848032,0.15636293051029215,13.726947759696886,1.7782677380196672,0.9276673374001487,0.010009450783437969,4.0,0,1,0
Marine_snow,1.0,1997,06,Mediterranean Region,43.5,7.5,0.0,60.0,2,-2.0862116027189352,0.010680571137330295,13.692651342602417,0.021443653417437293,0.9746908535764163,0.01622610011200075,4.0,1,1,0
Copepoda,1.0,1997,07,Mediterranean Region,43.5,7.5,0.0,30.0,1,-1.555996677991591,,12.202790945191154,,0.8657868199529222,,6.0,0,0,0
