Taxon,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,NBSS_slope_mean,NBSS_slope_std,NBSS_intercept_mean,NBSS_intercept_std,NBSS_r2_mean,NBSS_r2_std,PSD_slope_mean,PSD_slope_std,PSD_intercept_mean,PSD_intercept_std,PSD_r2_mean,PSD_r2_std,N_bins_min,QC_3std_dev,QC_min_n_size_bins,QC_R2
Copepoda,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.244355819649759,,17.523876330543622,,0.6931957036158948,,-6.98053469712811,,17.890735019571363,,0.7181541527400247,,5.0,0,0,1
Marine_snow,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.925580121756092,,12.97722206135451,,0.9586299442022763,,-5.963748540358268,,13.107569829329158,,0.9576130370797749,,6.0,1,0,0
Copepoda,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.4097309671053433,,10.036559619981581,,0.9119694371379938,,-4.354840952319257,,9.827965568975692,,0.9269042682900195,,5.0,0,0,0
Marine_snow,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.2024618365660436,,7.2748810452752535,,0.9748399673625209,,-3.8257213956840523,,7.285946641170751,,0.965443318430832,,6.0,0,0,0
Appendicularia,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.834779056160121,,12.142248608688465,,0.9927715939428149,,-5.712319795011883,,12.282384006468966,,0.9984876731410545,,4.0,0,1,0
Copepoda,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.1598633560018234,,8.07513810007858,,0.9031560330477597,,-3.6804850866054823,,7.985346593131741,,0.91394838987574,,4.0,0,1,0
Marine_snow,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.2180926039681426,,7.599467556742044,,0.9520928781990542,,-3.88803656757777,,7.641413174601719,,0.9589002569050566,,7.0,0,0,0
Copepoda,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.0961200305420276,,7.061895981612421,,0.9606554384951576,,-3.423261024858961,,6.798582903634684,,0.9654774428514524,,5.0,0,0,0
Echinodermata,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.2818654634154805,,6.890195594250841,,0.897872340053118,,-4.039881786608058,,6.851165956039255,,0.9378007462132221,,4.0,0,1,0
Marine_snow,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.7091314275186043,,11.007383518910192,,0.9211896602693939,,-5.398123803317643,,11.303497600297872,,0.9316793090391227,,6.0,1,0,0
Appendicularia,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.6494234674829185,,2.337264527855122,,0.1608978192546413,,-2.475135372761829,,3.1012622538842454,,0.24830398950630517,,4.0,0,1,1
Copepoda,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,2,-1.7155276881034562,0.3349505332117412,12.810825655311088,3.114364549633302,0.8980043527308847,0.0890095881348653,-5.424670141630409,1.1273997012909251,13.111351508434016,3.554889740519964,0.8973874035535625,0.08885191627057314,5.0,0,0,0
Copepoda,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.7155276881034562,0.3349505332117412,12.810825655311088,3.114364549633302,0.8980043527308847,0.0890095881348653,-5.424670141630409,1.1273997012909251,13.111351508434016,3.554889740519964,0.8973874035535625,0.08885191627057314,5.0,0,0,0
Marine_snow,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,-1.3133160186805002,0.19837781403395965,8.190254329372596,1.433629861879495,0.9236886384051313,0.06431694402096522,-4.2065283806884075,0.49322984459413355,8.362437490382788,1.2382095483637199,0.9183944303809185,0.07746122501131453,3.0,0,1,0
