Taxon,Validation_percentage,biomass_mid,range_biomass_bin,ocean,year,month,latitude,longitude,min_depth,max_depth,n,normalized_biomass_mean,normalized_biomass_std,QC_3std_dev,QC_min_n_size_bins,QC_R2
Collodaria_others,1.0,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0009714054207772,,0,1,1
Collodaria_others,1.0,0.0003408275417878,0.0002462995309007,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0002362264052379,,0,1,1
Collodaria_others,1.0,0.0006926821282087,0.0005026448096107,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.000761250032314,,0,1,1
Collodaria_others,1.0,0.0014129461507528,0.0010320911857739,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0002021438970653,,0,1,1
Foraminifera,1.0,0.0006926821282087,0.0005026448096107,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0010594806797747,,0,1,0
Foraminifera,1.0,0.0014129461507528,0.0010320911857739,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0002686354477633,,0,1,0
Foraminifera,1.0,0.0028780942304602,0.0020798590839583,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0001903644816476,,0,1,0
Marine_snow,0.9147982062780267,9.723094642062492e-06,7.075152891036358e-06,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0242409344953567,,0,0,0
Marine_snow,0.9147982062780267,1.9684653594912374e-05,1.40241263173338e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.011129702036245,,0,0,0
Marine_snow,0.9147982062780267,4.005862065482949e-05,2.959033661667364e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0077038906156417,,0,0,0
Marine_snow,0.9147982062780267,8.24170470390863e-05,6.0635671359454776e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0008788939910967,,0,0,0
Marine_snow,0.9147982062780267,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0004912564726175,,0,0,0
Rhizaria_others,1.0,1.9684653594912374e-05,1.40241263173338e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0016267050295613,,0,1,0
Rhizaria_others,1.0,4.005862065482949e-05,2.959033661667364e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0013804602471203,,0,1,0
Rhizaria_others,1.0,8.24170470390863e-05,6.0635671359454776e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0004454770573389,,0,1,0
Cyanophyceae,1.0,4.005862065482949e-05,2.959033661667364e-05,North Pacific Ocean,2008,08,22.5,-160.5,2.0,201.0,1,0.0224115812816233,,0,1,0
Cyanophyceae,1.0,8.24170470390863e-05,6.0635671359454776e-05,North Pacific Ocean,2008,08,22.5,-160.5,2.0,201.0,1,0.006498536187314,,0,1,0
Cyanophyceae,1.0,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,08,22.5,-160.5,2.0,201.0,1,0.0004450275210324,,0,1,0
Marine_snow,0.9609375,9.723094642062492e-06,7.075152891036358e-06,North Pacific Ocean,2008,08,22.5,-160.5,2.0,201.0,2,0.06708486747602804,0.029105328685044837,0,1,0
Marine_snow,0.9609375,1.9684653594912374e-05,1.40241263173338e-05,North Pacific Ocean,2008,08,22.5,-160.5,2.0,201.0,2,0.0184977722321,0.010588654069183384,0,1,0
Marine_snow,0.9609375,4.005862065482949e-05,2.959033661667364e-05,North Pacific Ocean,2008,08,22.5,-160.5,2.0,201.0,2,0.00291987375030015,0.000990085015467349,0,1,0
Marine_snow,0.9609375,8.24170470390863e-05,6.0635671359454776e-05,North Pacific Ocean,2008,08,22.5,-160.5,3.0,201.0,1,0.0012934769020576,,0,1,0
Collodaria_others,1.0,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.001289061466485,,0,1,1
Collodaria_others,1.0,0.0003408275417878,0.0002462995309007,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0004931295777455,,0,1,1
Collodaria_others,1.0,0.0006926821282087,0.0005026448096107,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0009158602803334,,0,1,1
Copepoda,1.0,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0026105979833781,,0,1,0
Copepoda,1.0,0.0003408275417878,0.0002462995309007,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0022561591890766,,0,1,0
Copepoda,1.0,0.0006926821282087,0.0005026448096107,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0005779667934461,,0,1,0
Copepoda,1.0,0.0014129461507528,0.0010320911857739,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0002195343432846,,0,1,0
Cyanophyceae,1.0,4.005862065482949e-05,2.959033661667364e-05,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0153092814459332,,0,1,0
Cyanophyceae,1.0,8.24170470390863e-05,6.0635671359454776e-05,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0062165108475173,,0,1,0
Cyanophyceae,1.0,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0010707134699304,,0,1,0
Marine_snow,0.9464668094218416,9.723094642062492e-06,7.075152891036358e-06,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0603845303513305,,0,0,0
Marine_snow,0.9464668094218416,1.9684653594912374e-05,1.40241263173338e-05,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0419402180268472,,0,0,0
Marine_snow,0.9464668094218416,4.005862065482949e-05,2.959033661667364e-05,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.017695572101731,,0,0,0
Marine_snow,0.9464668094218416,8.24170470390863e-05,6.0635671359454776e-05,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0060476722336766,,0,0,0
Marine_snow,0.9464668094218416,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0008997243463476,,0,0,0
Marine_snow,0.9464668094218416,0.0003408275417878,0.0002462995309007,North Pacific Ocean,2008,08,22.5,-157.5,1.0,201.0,1,0.0006743359571124,,0,0,0
Acantharia,1.0,4.772452706370237e-06,3.464069552505488e-06,North Pacific Ocean,2008,08,22.5,-156.5,1.0,201.0,1,0.0022286414855316,,0,1,1
Acantharia,1.0,9.723094642062492e-06,7.075152891036358e-06,North Pacific Ocean,2008,08,22.5,-156.5,1.0,201.0,1,9.353629019003306e-05,,0,1,1
