Taxon,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,biovolume_size_class,normalized_biovolume_mean,normalized_biovolume_std,equivalent_circular_diameter_mean,normalized_abundance_mean,normalized_abundance_std,QC_3std_dev,QC_min_n_size_bins,QC_R2
Collodaria_others,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0006684642126774,,2895.6864471140507,4.737458387340312e-05,,0,1,1
Collodaria_others,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0002615662918726,,3650.3424496887937,1.4587340234323784e-05,,0,1,1
Collodaria_others,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0006200176688429,,4599.565196841983,4.065697419194569e-05,,0,1,1
Copepoda,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.0029270062591487,,1450.068963877236,0.0002375767998678,,0,1,0
Copepoda,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0012748008158353,,1827.9770239256288,9.225770820038813e-05,,0,1,0
Copepoda,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0002565486491158,,2299.7825984209894,1.707485920315499e-05,,0,1,0
Foraminifera,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0007739129467637,,2299.7825984209894,5.122457760946496e-05,,0,1,1
Foraminifera,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0003733478581094,,2895.6864471140507,3.158305591560208e-05,,0,1,1
Foraminifera,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0004176003025308,,3650.3424496887937,2.9174680468647567e-05,,0,1,1
Marine_snow,0.9147982062780268,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.0207665199529917,,1450.068963877236,0.0016432395324194,,0,0,0
Marine_snow,0.9147982062780268,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0135314545711003,,1827.9770239256288,0.0010148347902042,,0,0,0
Marine_snow,0.9147982062780268,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0070447123897034,,2299.7825984209894,0.0004951709168914,,0,0,0
Marine_snow,0.9147982062780268,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0052721523337866,,2895.6864471140507,0.0003632051430294,,0,0,0
Marine_snow,0.9147982062780268,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0005750792330178,,3650.3424496887937,4.376202070297135e-05,,0,0,0
Marine_snow,0.9147982062780268,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0003987476203772,,4599.565196841983,2.7104649461297123e-05,,0,0,0
Marine_snow,0.9147982062780268,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,101705212071.36678,0.0002195810370115,,5791.372894228102,1.25337440461993e-05,,0,0,0
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,1,6368819972.300732,0.0008076970595555,,2299.7825984209894,4.291829900908419e-05,,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,1,12713151508.920866,0.0004979250581703,,2895.6864471140507,3.969259779184521e-05,,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,1,25468270205.310867,0.0007345420697514,,3650.3424496887937,3.666582678516448e-05,,0,1,1
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,3198238305.1719217,0.01832634935563615,0.0024796957728579145,1827.9770239256288,0.0013393613612249998,0.00012323178190397162,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,6368819972.300732,0.01329271566266485,0.004985929232556796,2299.7825984209894,0.00099915306732605,0.0003204942891118485,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,12713151508.920866,0.00131026384753795,0.0003363715290149377,2895.6864471140507,0.00010314076057123478,2.2538367935776813e-05,0,1,0
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,1596484088.142202,0.06135780320282335,0.023884370739700456,1450.068963877236,0.00501609731234015,0.0019142655076213283,0,1,0
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,3198238305.1719217,0.0254998814813927,0.014829475595699453,1827.9770239256288,0.00204681089932785,0.001237498446694853,0,1,0
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,6368819972.300732,0.0085152218820127,0.004854875052960545,2299.7825984209894,0.00063922317843975,0.00037061036285241554,0,1,0
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,12713151508.920866,0.0023027455654784,0.0003852183725821723,2895.6864471140507,0.00014478799140885,1.9774099372922255e-05,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0016539900592832,,2895.6864471140507,0.0001046424325123,,0,1,1
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0013698159623508,,3650.3424496887937,9.666289228525107e-05,,0,1,1
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0015856824057915,,4599.565196841983,8.980437040681348e-05,,0,1,1
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,101705212071.36678,0.0007422919234394,,5791.372894228102,4.983285223516964e-05,,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0013001702198907,,2299.7825984209894,9.05171333184804e-05,,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0008875500665942,,2895.6864471140507,6.278545950739102e-05,,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0011590933155416,,3650.3424496887937,5.7997735371150645e-05,,0,1,1
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0029826709889736,,1827.9770239256288,0.0002200841850619,,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0013114871697278,,2299.7825984209894,9.05171333184804e-05,,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0006402387319037,,2895.6864471140507,4.185697300492734e-05,,0,1,0
