Taxon,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,NBSS_slope_mean,NBSS_slope_std,NBSS_intercept_mean,NBSS_intercept_std,NBSS_r2_mean,NBSS_r2_std,N_bins_min,QC_3std_dev,QC_min_n_size_bins,QC_R2
Collodaria_others,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-0.4988467858633606,,1.7945733793422587,,0.3264951677241048,,4.0,0,1,1
Foraminifera,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-1.2054462698834263,,9.598883103918187,,0.8936167076400029,,3.0,0,1,0
Marine_snow,0.9147982062780267,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-1.4504536004791766,,11.017569248701694,,0.9376469814988231,,5.0,0,0,0
Rhizaria_others,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-0.9061777746772316,,5.387737538759673,,0.8465270631969125,,3.0,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,1,-2.7304219349669316,,23.724767163979465,,0.9553379260046417,,3.0,0,1,0
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,-1.9918656331022024,0.3673814459504957,16.003758222086578,3.4598204518730458,0.9726544450522556,0.013494278946930496,3.0,0,1,0
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,3.0,201.0,2,-1.9918656331022024,0.3673814459504957,16.003758222086578,3.4598204518730458,0.9726544450522556,0.013494278946930496,3.0,0,1,0
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-0.24075286587522035,,-0.6263099997927806,,0.12245443210296969,,3.0,0,1,1
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-1.2391787778107803,,9.78029095766163,,0.9289455502602284,,4.0,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-1.8534289692332275,,15.40041945166533,,0.9652576636723907,,3.0,0,1,0
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-1.4069294080189663,,11.110834223641017,,0.9561768125377308,,6.0,0,0,0
Acantharia,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,-2.234645210252428,,15.735796055968335,,0.7500821033886226,,3.0,0,1,1
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,2,-0.8878252343687809,0.8745345474413715,5.175069288239319,9.010070102313295,0.560973043454732,0.433052950193172,3.0,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,-1.0163099118536831,0.7261620423364358,7.312428836271679,7.496868190627086,0.9413565033908711,0.06263436776167079,4.0,0,1,0
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,-0.8032342418987777,0.4468544499013086,5.27082370363176,4.547643578036137,0.8950837276413727,0.06317235370465188,3.0,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,3,-1.6311655556330118,0.9210624370602079,13.187958280168369,9.014839382900178,0.8902533980796044,0.10205299968434163,3.0,0,1,0
Eumalacostraca,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,-0.9080198724201648,,6.232298243258391,,0.8869771891615061,,4.0,0,1,0
