Taxon,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,NBSS_slope_mean,NBSS_slope_std,NBSS_intercept_mean,NBSS_intercept_std,NBSS_r2_mean,NBSS_r2_std,PSD_slope_mean,PSD_slope_std,PSD_intercept_mean,PSD_intercept_std,PSD_r2_mean,PSD_r2_std,N_bins_min,QC_3std_dev,QC_min_n_size_bins,QC_R2
Collodaria_others,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-0.054623349370988054,,-2.7532456537252017,,0.005288448609659824,,-0.3320274223771562,,-3.3343440432299167,,0.014384715753449462,,3.0,0,1,1
Copepoda,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-1.7586520047297796,,13.707986005369394,,0.9666724725867039,,-5.706373525862376,,14.470097418557465,,0.9734749440980464,,3.0,0,1,0
Foraminifera,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-0.4445901869143285,,1.1863373536469894,,0.6160745071622964,,-1.2176661185641278,,-0.22655292247492476,,0.8522386225165777,,3.0,0,1,1
Marine_snow,0.9147982062780268,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-1.197070110763465,,9.485369128487392,,0.9424728386005854,,-3.760972957915845,,9.256430283715451,,0.9558214659246274,,7.0,0,0,0
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,1,-0.06795699675637132,,-2.4898337543109257,,0.03376022946787116,,-0.34080434477882515,,-3.221623432259021,,0.999991819576711,,3.0,0,1,1
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,-1.9212498550109127,0.28683224395302653,16.6630288855071,2.8499168539844812,0.8519011713338048,0.07904266927706777,-5.597547972760781,0.6801492677722295,15.525294593102002,2.3152341433102106,0.8441059784952537,0.07455172385892048,3.0,0,1,0
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,-1.5684041991616058,0.24802461930789804,13.238511230581484,2.552325783852007,0.9777653541332894,0.016746816338119353,-5.072743210371977,0.34339796252927385,13.76829855932371,1.331620464739401,0.9847914243144249,0.021110970980726985,4.0,0,1,0
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-0.3254085901489775,,0.5415701871353984,,0.6159133417126688,,-0.9944857325036394,,-0.4935786469228902,,0.7700720120602921,,4.0,0,1,1
Collodaria_others,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-0.08246591738339208,,-2.1245970012687927,,0.08512721825441816,,-0.962947674233965,,-0.8270147247974582,,0.877698738535537,,3.0,0,1,1
Copepoda,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-1.114949151393728,,8.064319793838402,,0.9983825978645324,,-3.607907628499986,,8.102770564089255,,0.9982579355705581,,3.0,0,1,0
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,-1.1422602113878022,,8.994744350874901,,0.9870093009132835,,-3.4702071097851626,,8.325483495335979,,0.9659519338606418,,3.0,0,1,0
