PFT,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,NBSS_slope_mean,NBSS_slope_std,NBSS_intercept_mean,NBSS_intercept_std,NBSS_r2_mean,NBSS_r2_std,PSD_slope_mean,PSD_slope_std,PSD_intercept_mean,PSD_intercept_std,PSD_r2_mean,PSD_r2_std,N_bins_min,QC_3std_dev,QC_min_n_size_bins,QC_R2
Crustaceans,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.244365438804874,,17.524981967015606,,0.6925532903108141,,-6.980558779444597,,17.891659958110438,,0.7175860455155734,,5.0,1,0,1
Detritus,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.925580121756092,,12.97722206135451,,0.9586299442022763,,-5.963748540358268,,13.107569829329158,,0.9576130370797749,,6.0,1,0,0
Crustaceans,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.4210542124434729,,10.142711047567149,,0.9084650732322568,,-4.391956985111708,,9.947287429958898,,0.9232889857522182,,5.0,0,0,0
Detritus,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.2024618365660436,,7.2748810452752535,,0.9748399673625209,,-3.8257213956840523,,7.285946641170751,,0.965443318430832,,6.0,0,0,0
Crustaceans,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.8674995220810293,,13.984494937150021,,0.9192788868427312,,-5.995671002336119,,14.646425459511168,,0.9187600717776363,,5.0,0,0,0
Detritus,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.2180926039681426,,7.599467556742044,,0.9520928781990542,,-3.88803656757777,,7.641413174601719,,0.9589002569050566,,7.0,0,0,0
Filter_feeder_gelatinous,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,-0.67214257387247,,2.4444474762940125,,0.39620412754588485,,-2.2979080533581597,,2.4691181322806264,,0.472977749241537,,5.0,0,0,1
Carnivorous_gelatinous,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-2.572633107121013,,16.867384926302115,,0.9718958013140542,,-7.373586575858474,,15.68110721634034,,0.9640878794982354,,3.0,1,1,0
Crustaceans,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.0971327879582111,,7.070908340529716,,0.9601480004517634,,-3.427549660321122,,6.811705891103661,,0.9648837021428859,,5.0,0,0,0
Detritus,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,-1.7091314275186043,,11.007383518910192,,0.9211896602693939,,-5.398123803317643,,11.303497600297872,,0.9316793090391227,,6.0,1,0,0
