PFT,Validation_percentage,biomass_mid,range_biomass_bin,ocean,year,month,latitude,longitude,min_depth,max_depth,n,normalized_biomass_mean,normalized_biomass_std,QC_3std_dev,QC_min_n_size_bins,QC_R2
Crustaceans,1.0,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0020555345405004,,0,1,1
Crustaceans,1.0,0.0003408275417878,0.0002462995309007,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0007018175113758,,0,1,1
Crustaceans,1.0,0.0006926821282087,0.0005026448096107,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0001994952440612,,0,1,1
Crustaceans,1.0,0.0028780942304602,0.0020798590839583,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0004725976146381,,0,1,1
Detritus,0.9099999999999999,9.723094642062492e-06,7.075152891036358e-06,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0242409344953567,,0,0,0
Detritus,0.9099999999999999,1.9684653594912374e-05,1.40241263173338e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.011129702036245,,0,0,0
Detritus,0.9099999999999999,4.005862065482949e-05,2.959033661667364e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0077038906156417,,0,0,0
Detritus,0.9099999999999999,8.24170470390863e-05,6.0635671359454776e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0008788939910967,,0,0,0
Detritus,0.9099999999999999,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0004912564726175,,0,0,0
Mesophytoplankton,1.0,4.005862065482949e-05,2.959033661667364e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.009961466243492,,0,1,0
Mesophytoplankton,1.0,8.24170470390863e-05,6.0635671359454776e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.006751802928867,,0,1,0
Mesophytoplankton,1.0,0.0003408275417878,0.0002462995309007,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0002635293209062,,0,1,0
Rhizaria,1.0,4.772452706370237e-06,3.464069552505488e-06,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0042279560464764,,0,0,1
Rhizaria,1.0,9.723094642062492e-06,7.075152891036358e-06,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.000467323195275,,0,0,1
Rhizaria,1.0,1.9684653594912374e-05,1.40241263173338e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0016267050295613,,0,0,1
Rhizaria,1.0,4.005862065482949e-05,2.959033661667364e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0026407577693796,,0,0,1
Rhizaria,1.0,8.24170470390863e-05,6.0635671359454776e-05,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0011422030186918,,0,0,1
Rhizaria,1.0,0.0001681158566504,0.0001211096971779,North Pacific Ocean,2008,07,22.5,-157.5,1.0,201.0,1,0.0009714054207772,,0,0,1
