PFT,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,biovolume_size_class,normalized_biovolume_mean,normalized_biovolume_std,equivalent_circular_diameter_mean,normalized_abundance_mean,normalized_abundance_std,QC_3std_dev,QC_min_n_size_bins,QC_R2
Crustaceans,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.0029270062591487,,1450.068963877236,0.0002375767998678,,0,0,0
Crustaceans,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0012748008158353,,1827.9770239256288,9.225770820038813e-05,,0,0,0
Crustaceans,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0004917254146898,,2299.7825984209894,3.414971840630998e-05,,0,0,0
Crustaceans,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0002604920984959,,3650.3424496887937,1.4587340234323784e-05,,0,0,0
Crustaceans,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0002118859866842,,4599.565196841983,1.3552324730648562e-05,,0,0,0
Detritus,0.91,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.0207665199529917,,1450.068963877236,0.0016432395324194,,0,0,0
Detritus,0.91,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0135314545711003,,1827.9770239256288,0.0010148347902042,,0,0,0
Detritus,0.91,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0070447123897034,,2299.7825984209894,0.0004951709168914,,0,0,0
Detritus,0.91,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0052721523337866,,2895.6864471140507,0.0003632051430294,,0,0,0
Detritus,0.91,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0005750792330178,,3650.3424496887937,4.376202070297135e-05,,0,0,0
Detritus,0.91,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0003987476203772,,4599.565196841983,2.7104649461297123e-05,,0,0,0
Detritus,0.91,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,101705212071.36678,0.0002195810370115,,5791.372894228102,1.25337440461993e-05,,0,0,0
Mesophytoplankton,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.008064711598195,,2299.7825984209894,0.0005805452129072,,0,1,0
Mesophytoplankton,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0009570334897015,,2895.6864471140507,7.895763978900519e-05,,0,1,0
Mesophytoplankton,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0002150722090155,,4599.565196841983,1.3552324730648562e-05,,0,1,0
Rhizaria,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.0064840657462774,,1450.068963877236,0.000514749733047,,0,0,0
Rhizaria,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0030124399070543,,1827.9770239256288,0.000239870041321,,0,0,0
Rhizaria,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0022048604818825,,2299.7825984209894,0.0001536737328283,,0,0,0
Rhizaria,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0013230442900688,,2895.6864471140507,9.474916774680624e-05,,0,0,0
Rhizaria,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0006791665944034,,3650.3424496887937,4.376202070297135e-05,,0,0,0
Rhizaria,1.0,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0006200176688429,,4599.565196841983,4.065697419194569e-05,,0,0,0
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-160.5,3.0,201.0,1,1596484088.142202,0.0023458211028324,,1450.068963877236,0.0002186571457259,,0,1,1
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-160.5,3.0,201.0,1,3198238305.1719217,0.0006669141531074,,1827.9770239256288,5.0946406780965184e-05,,0,1,1
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-160.5,3.0,201.0,1,6368819972.300732,0.0008872459654698,,2299.7825984209894,4.714525971110029e-05,,0,1,1
Detritus,0.9600000000000001,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,1596484088.142202,0.06135780320282335,0.023884370739700456,1450.068963877236,0.00501609731234015,0.0019142655076213283,0,1,0
Detritus,0.9600000000000001,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,3198238305.1719217,0.0254998814813927,0.014829475595699453,1827.9770239256288,0.00204681089932785,0.001237498446694853,0,1,0
Detritus,0.9600000000000001,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,6368819972.300732,0.0085152218820127,0.004854875052960545,2299.7825984209894,0.00063922317843975,0.00037061036285241554,0,1,0
Detritus,0.9600000000000001,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,12713151508.920866,0.0023027455654784,0.0003852183725821723,2895.6864471140507,0.00014478799140885,1.9774099372922255e-05,0,1,0
Detritus,0.9600000000000001,2008,08,North Pacific Ocean,22.5,-160.5,3.0,201.0,1,50950559778.40595,0.0004862521492001,,4599.565196841983,3.741921743035729e-05,,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,3198238305.1719217,0.01832634935563615,0.0024796957728579145,1827.9770239256288,0.0013393613612249998,0.00012323178190397162,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,6368819972.300732,0.0136711392690822,0.004450757436039242,2299.7825984209894,0.00102061221683055,0.0002901464688455927,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,12713151508.920866,0.00131026384753795,0.0003363715290149377,2895.6864471140507,0.00010314076057123478,2.2538367935776813e-05,0,1,0
Mesophytoplankton,1.0,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,1,25468270205.310867,0.0008436139527883,,3650.3424496887937,3.666582678516448e-05,,0,1,0
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-160.5,3.0,201.0,1,1596484088.142202,0.0022813182700796,,1450.068963877236,0.0001639928592944,,0,1,1
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-160.5,3.0,201.0,1,3198238305.1719217,0.0005108824710424,,1827.9770239256288,5.0946406780965184e-05,,0,1,1
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-160.5,3.0,201.0,1,6368819972.300732,0.0012774965967282,,2299.7825984209894,9.429051942220058e-05,,0,1,1
Rhizaria,1.0,2008,08,North Pacific Ocean,22.5,-160.5,3.0,201.0,1,12713151508.920866,0.0013168335744412,,2895.6864471140507,8.720372776696954e-05,,0,1,1
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.0035236937254618,,1450.068963877236,0.0002886218034591,,0,0,0
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0029826709889736,,1827.9770239256288,0.0002200841850619,,0,0,0
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.0013114871697278,,2299.7825984209894,9.05171333184804e-05,,0,0,0
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0006402387319037,,2895.6864471140507,4.185697300492734e-05,,0,0,0
Crustaceans,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0003339113217416,,3650.3424496887937,1.933257845705021e-05,,0,0,0
Detritus,0.95,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.052929782963294,,1450.068963877236,0.0042243736688106,,0,0,0
Detritus,0.95,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.0394931313374317,,1827.9770239256288,0.0029100020024861,,0,0,0
