Taxon,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,biovolume_size_class,normalized_biovolume_mean,normalized_biovolume_std,equivalent_circular_diameter_mean,normalized_abundance_mean,normalized_abundance_std
Marine_snow,0.9147982062780269,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.020766519952991766,,1450.068963877236,0.0016432395324194541,
Marine_snow,0.9147982062780269,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.013531454571100394,,1827.9770239256288,0.0010148347902042695,
Marine_snow,0.9147982062780269,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.00704471238970345,,2299.7825984209894,0.0004951709168914947,
Marine_snow,0.9147982062780269,2008,07,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.005272152333786652,,2895.6864471140507,0.0003632051430294238,
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,1596484088.142202,0.06135780320282343,0.023884370739700445,1450.068963877236,0.005016097312340193,0.001914265507621326
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,3198238305.1719217,0.025499881481392782,0.014829475595699465,1827.9770239256288,0.0020468108993279377,0.001237498446694837
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,2,6368819972.300732,0.008515221882012763,0.0048548750529605065,2299.7825984209894,0.0006392231784397853,0.0003706103628524621
Marine_snow,0.9609375,2008,08,North Pacific Ocean,22.5,-160.5,2.0,201.0,1,12713151508.920866,0.0020303550419879146,,2895.6864471140507,0.00015877039116738085,
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0016539900592832757,,2895.6864471140507,0.00010464243251231838,
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.0013698159623508261,,3650.3424496887937,9.666289228525109e-05,
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,50950559778.40595,0.0015856824057915713,,4599.565196841983,8.980437040681348e-05,
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.013030183719756944,,1827.9770239256288,0.0009292443369283556,
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.006939105124772771,,2299.7825984209894,0.0005431027999108824,
Cyanophyceae,1.0,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.0026941682056960846,,2895.6864471140507,0.00018835637852217306,
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,1596484088.142202,0.052929782963294064,,1450.068963877236,0.004224373668810633,
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,3198238305.1719217,0.03949313133743178,,1827.9770239256288,0.0029100020024861667,
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,6368819972.300732,0.023290546115533745,,2299.7825984209894,0.001742454816380748,
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,12713151508.920866,0.013343610504695052,,2895.6864471140507,0.0008999249196059379,
Marine_snow,0.9464668094218416,2008,08,North Pacific Ocean,22.5,-157.5,1.0,201.0,1,25468270205.310867,0.005858660188226259,,3650.3424496887937,0.0003479864122269039,
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,12713151508.920866,0.0017559228013588487,,2895.6864471140507,0.00011833840561129423,
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,25468270205.310867,0.0016145300745248551,,3650.3424496887937,0.00010931447482804177,
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,50950559778.40595,0.0006915849259485565,,4599.565196841983,3.906087894425019e-05,
Bacillariophyceae,1.0,2008,08,North Pacific Ocean,22.5,-156.5,1.0,201.0,1,101705212071.36678,0.00048689541853339993,,5791.372894228102,2.8900078393170445e-05,
