PFT,Validation_percentage,year,month,ocean,latitude,longitude,min_depth,max_depth,n,biovolume_size_class,normalized_biovolume_mean,normalized_biovolume_std,equivalent_circular_diameter_mean,normalized_abundance_mean,normalized_abundance_std
Crustaceans,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.25854866642497587,,574.6651198741748,0.026817748171332485,
Crustaceans,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,198826383.29579958,0.12750788962806786,,724.1443226318906,0.013925406830542268,
Crustaceans,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,395398209.4983175,0.06781270665551795,,910.6371395896389,0.007430273561955149,
Crustaceans,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,790284465.9346219,0.0002511034948019713,,1147.0832576583095,2.6603391479596406e-05,
Crustaceans,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,1596484088.142202,0.002410418919091992,,1450.068963877236,0.0001909268424249815,
Detritus,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,24865171.338516008,0.03735872150047592,,362.12981097943316,0.004735134250031652,
Detritus,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.014240570052741486,,455.9298191608002,0.0018756409371444205,
Detritus,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.004530851200999319,,574.6651198741748,0.0005642295894109833,
Detritus,1.0,1996,05,Mediterranean Region,43.5,7.5,0.0,60.0,1,198826383.29579958,0.0025379345229755434,,724.1443226318906,0.00027266530857005845,
Crustaceans,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.1007994572246387,,455.9298191608002,0.011732217322735479,
Crustaceans,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.0757304586662263,,574.6651198741748,0.008533621650792982,
Crustaceans,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,198826383.29579958,0.03175742264699436,,724.1443226318906,0.0035316649490978996,
Crustaceans,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,395398209.4983175,0.013592284494690056,,910.6371395896389,0.0013201301031020556,
Crustaceans,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,790284465.9346219,0.0017438528183804781,,1147.0832576583095,0.0001884406896471412,
Detritus,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,24865171.338516008,0.029908623469202113,,362.12981097943316,0.00394183912593686,
Detritus,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.009381971894976601,,455.9298191608002,0.0012564826294026385,
Detritus,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.004922997292341733,,574.6651198741748,0.000561422477025854,
Detritus,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,198826383.29579958,0.0013495733656174451,,724.1443226318906,0.00012984062312859925,
Detritus,1.0,1996,08,Mediterranean Region,43.5,7.5,0.0,60.0,1,395398209.4983175,0.0007828251333310026,,910.6371395896389,8.477899744692102e-05,
Crustaceans,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.048243763541360604,,574.6651198741748,0.0050780663046988495,
Crustaceans,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,198826383.29579958,0.03632949509018035,,724.1443226318906,0.003926380443408842,
Crustaceans,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,395398209.4983175,0.018627236578686958,,910.6371395896389,0.0017222247767074528,
Crustaceans,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,790284465.9346219,0.004193372061606326,,1147.0832576583095,0.00039905087219394616,
Detritus,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,24865171.338516008,0.028873906076540588,,362.12981097943316,0.003616637398047068,
Detritus,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.016035406950770156,,455.9298191608002,0.0019800955171790976,
Detritus,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.006345640941797757,,574.6651198741748,0.000715813658207964,
Detritus,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,198826383.29579958,0.004848619712543047,,724.1443226318906,0.0005063784302015371,
Detritus,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,395398209.4983175,0.002325853384038482,,910.6371395896389,0.0002398034499212909,
Detritus,1.0,1996,09,Mediterranean Region,43.5,7.5,0.0,60.0,1,790284465.9346219,0.0006346248406672144,,1147.0832576583095,5.985763082909191e-05,
Crustaceans,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.03208791450326845,,455.9298191608002,0.003822432095471882,
Crustaceans,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.02567393466734461,,574.6651198741748,0.0028492190709062093,
Crustaceans,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,198826383.29579958,0.011897139034076269,,724.1443226318906,0.0013341124026463576,
Crustaceans,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,395398209.4983175,0.0037100368919814495,,910.6371395896389,0.00039664459519809473,
Crustaceans,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,790284465.9346219,0.001896645344394339,,1147.0832576583095,0.0001967542494845151,
Detritus,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,24865171.338516008,0.014152888583278218,,362.12981097943316,0.0017820397715172882,
Detritus,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.008179582623003662,,455.9298191608002,0.0010823916626781767,
Detritus,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.0019176160533443197,,574.6651198741748,0.000238604552735988,
Detritus,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,198826383.29579958,0.001919123253735625,,724.1443226318906,0.0001947609346928989,
Other_zooplankton,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,24865171.338516008,0.003482365564051874,,362.12981097943316,0.0004270325719764931,
Other_zooplankton,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.0008255292369389543,,455.9298191608002,9.839924206165242e-05,
Other_zooplankton,1.0,1996,12,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.00032619301580304964,,574.6651198741748,4.210668577693906e-05,
Crustaceans,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.37610365190687156,,455.9298191608002,0.0458237701108649,
Crustaceans,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,99367219.08666033,0.13287457563771843,0.10927594780670755,574.6651198741748,0.014716286679040201,0.012237082371973717
Crustaceans,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,198826383.29579958,0.07375865346534753,0.07875247284842321,724.1443226318906,0.007829389574654537,0.008097746524736854
Crustaceans,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,395398209.4983175,0.035954725965775466,0.036678320771907746,910.6371395896389,0.0034335493966003014,0.0036225601558135686
Crustaceans,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,790284465.9346219,0.006861292810235653,0.003609881248530123,1147.0832576583095,0.0007315932656889012,0.0003762287703556609
Detritus,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,24865171.338516008,0.02717755244723575,0.0021938578212073096,362.12981097943316,0.0035969282024173837,0.00020904758822223009
Detritus,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,49624096.665071465,0.01256614405723689,0.00034945808412256837,455.9298191608002,0.0015214036657224719,0.0001605663953663329
Detritus,1.0,1997,01,Mediterranean Region,43.5,7.5,0.0,30.0,2,99367219.08666033,0.007208058060169337,0.005353546538548877,574.6651198741748,0.0008842404013157202,0.0006550263070156248
Crustaceans,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.8025402572835076,,455.9298191608002,0.09741524964103589,
Crustaceans,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.42643925829226226,,574.6651198741748,0.04741212818483338,
Crustaceans,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,198826383.29579958,0.10494112715383584,,724.1443226318906,0.011412990773003872,
Crustaceans,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,395398209.4983175,0.044088578141981825,,910.6371395896389,0.0040693918774522084,
Crustaceans,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,790284465.9346219,0.005543497025239121,,1147.0832576583095,0.0006318305476404146,
Detritus,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,24865171.338516008,0.027501915817241394,,362.12981097943316,0.003449109235194752,
Detritus,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,49624096.665071465,0.010645179821112625,,455.9298191608002,0.0013170360091328862,
Detritus,1.0,1997,02,Mediterranean Region,43.5,7.5,0.0,60.0,1,99367219.08666033,0.004515688590085278,,574.6651198741748,0.0005052802293232687,
Crustaceans,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,49624096.665071465,0.4306751844894968,0.08764842452995815,455.9298191608002,0.05159147953017099,0.007707186977583984
Crustaceans,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,99367219.08666033,0.26955894438298816,0.14620675653327533,574.6651198741748,0.030485240502503876,0.0158000284964981
Crustaceans,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,198826383.29579958,0.05376986624530312,0.05403687454237137,724.1443226318906,0.0060765411624184446,0.006096262689824569
Crustaceans,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,395398209.4983175,0.021979261385288166,0.011467537768314585,910.6371395896389,0.002083141080124345,0.0011647001919400598
Crustaceans,1.0,1997,03,Mediterranean Region,43.5,7.5,0.0,30.0,2,790284465.9346219,0.004500502176902555,0.0015533092369441122,1147.0832576583095,0.00044338985799327347,0.00012540959011855357
Crustaceans,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,49624096.665071465,0.4483126411725286,0.5920007147066427,455.9298191608002,0.05307806500254857,0.06964966787294133
Crustaceans,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,99367219.08666033,0.2816970103700774,0.3782231517964107,574.6651198741748,0.03344674406881526,0.04513208868270108
Crustaceans,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,198826383.29579958,0.025444966800258238,0.014954104631171888,724.1443226318906,0.0030226897064337906,0.0019074961907196938
Crustaceans,1.0,1997,04,Mediterranean Region,43.5,7.5,30.0,60.0,3,395398209.4983175,0.017102518710427964,0.0031496764775074356,910.6371395896389,0.0016156454656313234,0.00017445296542385362
